Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_BH600,1,BH600,
D1,LED_D1.8mm_W3.3mm_H2.4mm,1,LED,
R1,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,R_US,
